Region	Mean Controls	Mean ASD-I	Cohen`s D	t	df	p	pcor	NA	NA
S_collat_transv_post	 0.0362	NA	 0.06	NA	-0.16	-1.0589	163.9164	0.29121345806257	21.3099920435701
S_front_inf	 0.0459	NA	 0.05	NA	-0.03	-0.2032	163.8460	0.839216297094657	61.4109414204305
S_front_middle	-0.2115	NA	-0.23	NA	 0.15	 0.9949	162.0338	0.321245550129511	23.5076365042899
S_front_sup	 0.0432	NA	 0.04	NA	 0.09	 0.5635	165.9364	0.573838150778853	41.9914879921755
S_interm_prim-Jensen	-0.0857	NA	 0.13	NA	-0.86	-5.6250	165.7953	7.73305701215863e-08	5.65878323405531e-06
S_intrapariet_and_P_trans	-0.0514	NA	-0.03	NA	-0.29	-1.8279	153.1653	0.0695121029017121	5.08665488752596
S_oc_middle_and_Lunatus	 0.0477	NA	 0.01	NA	 0.29	 1.9070	165.8735	0.0582499699096219	4.262531009283
S_oc_sup_and_transversal	-0.0397	NA	-0.06	NA	 0.21	 1.3472	159.2504	0.179834066138982	13.1596339814802
S_occipital_ant	-0.0234	NA	-0.06	NA	 0.26	 1.6976	165.1990	0.0914602557773512	6.69274468249154
S_oc-temp_lat	-0.0898	NA	-0.08	NA	-0.10	-0.6668	155.0860	0.5058677056284	37.0176462782982
S_oc-temp_med_and_Lingual	 0.0049	NA	 0.03	NA	-0.40	-2.5994	162.0461	0.0102006460322244	0.746447939707759
S_orbital_lateral	-0.0919	NA	-0.12	NA	 0.16	 1.0149	150.4151	0.311790583638974	22.8157548102706
S_orbital_med-olfact	-0.0251	NA	-0.03	NA	 0.03	 0.2005	165.8650	0.8413418897176	61.5664849251302
S_orbital-H_Shaped	 0.0081	NA	 0.02	NA	-0.15	-0.9483	164.8137	0.344385163211433	25.2009132297121
S_parieto_occipital	-0.0485	NA	-0.02	NA	-0.32	-2.0271	130.1870	0.0446914015510303	3.27036194619764
S_pericallosal	-0.0466	NA	-0.04	NA	-0.08	-0.5301	156.1017	0.596774390449645	43.6698825558944
S_postcentral	 0.0870	NA	 0.11	NA	-0.23	-1.5051	161.6825	0.134247520265188	9.82376847468877
S_precentral-inf-part	-0.0025	NA	-0.01	NA	 0.05	 0.3008	165.7907	0.763916119923598	55.9007353088369
S_precentral-sup-part	-0.0354	NA	-0.01	NA	-0.27	-1.7962	165.7574	0.0742891736916937	5.43622437927729
S_suborbital	 0.3802	NA	 0.40	NA	-0.10	-0.6640	155.7187	0.507658637700498	37.1487004832134
S_subparietal	-0.0692	NA	-0.07	NA	 0.03	 0.1762	138.6580	0.860357931049185	62.9580129546803
S_temporal_inf	 0.0899	NA	 0.09	NA	 0.01	 0.0704	143.0895	0.943955179513184	69.0753700008969
S_temporal_sup	-0.0303	NA	-0.04	NA	 0.10	 0.6402	153.0667	0.522972072309887	38.2692845793498
S_temporal_transverse	 0.1266	NA	 0.13	NA	-0.01	-0.0469	156.0338	0.962629017195517	70.4418567528517
