Region	Mean ASD-I	Mean ASD-II	Cohen`s D	t	df	p	pcor	NA	NA
G_oc-temp_med-Lingual	 0.0187	NA	 0.00	NA	 0.19	 1.2488	162.2871	0.213550944562809	15.6269183430134
G_oc-temp_med-Parahip	 0.0378	NA	 0.05	NA	-0.13	-0.8705	162.1131	0.38532179887855	28.1965144157306
G_orbital	-0.0576	NA	-0.03	NA	-0.52	-3.3299	159.0062	0.00107993145704387	0.0790256429435388
G_pariet_inf-Angular	-0.0510	NA	-0.08	NA	 0.37	 2.3571	161.7074	0.0196157098797089	1.43540969653869
G_pariet_inf-Supramar	 0.1057	NA	 0.06	NA	 0.50	 3.1919	149.9956	0.00172216893396618	0.126022356674937
G_parietal_sup	 0.1030	NA	 0.09	NA	 0.16	 1.0322	162.0590	0.303505221060807	22.2094606788335
G_postcentral	 0.0684	NA	 0.05	NA	 0.19	 1.2300	162.5818	0.220467182580503	16.1330246820165
G_precentral	 0.0072	NA	 0.00	NA	 0.10	 0.6561	162.5151	0.512667636913866	37.515241693545
G_precuneus	 0.0392	NA	 0.02	NA	 0.30	 1.9714	156.0062	0.0504506978481069	3.69180729794678
G_rectus	 0.0800	NA	 0.08	NA	 0.03	 0.2147	162.5566	0.830298480168917	60.7583664707772
G_subcallosal	 0.2812	NA	 0.25	NA	 0.12	 0.7603	140.1551	0.44836266174893	32.8096263753397
G_temp_sup-G_T_transv	 0.1153	NA	 0.12	NA	-0.07	-0.4731	162.5884	0.636801168731265	46.598903530357
G_temp_sup-Lateral	 0.0486	NA	 0.03	NA	 0.35	 2.2681	159.1479	0.0246655016899297	1.80493596779491
G_temp_sup-Plan_polar	-0.0956	NA	-0.08	NA	-0.10	-0.6195	154.7471	0.536502822376415	39.2594179961897
G_temp_sup-Plan_tempo	 0.1060	NA	 0.07	NA	 0.35	 2.2137	159.1585	0.028270499036045	2.06873718520397
G_temporal_inf	-0.0089	NA	 0.02	NA	-0.26	-1.7305	159.3325	0.0854846065013276	6.25546736922991
G_temporal_middle	-0.0772	NA	-0.05	NA	-0.38	-2.4433	162.9165	0.0156220914545561	1.14317053482118
Lat_Fis-ant-Horizont	-0.1280	NA	-0.10	NA	-0.22	-1.3863	162.0861	0.1675559090148	12.2611609769468
Lat_Fis-ant-Vertical	 0.0951	NA	 0.18	NA	-0.37	-2.4188	161.3654	0.0166829172384294	1.22079809078769
Lat_Fis-post	-0.0887	NA	-0.09	NA	 0.04	 0.2797	161.0251	0.780057976002528	57.0819404183086
Pole_occipital	-0.2515	NA	-0.25	NA	-0.03	-0.2175	159.3740	0.828113838283862	60.5985019456337
Pole_temporal	-0.0384	NA	-0.03	NA	-0.11	-0.7358	159.4582	0.462918527115912	33.8747741786772
S_calcarine	 0.0131	NA	 0.01	NA	 0.02	 0.1296	162.7531	0.897042518873229	65.6424640094253
S_central	 0.0279	NA	 0.02	NA	 0.14	 0.9146	162.8392	0.361738625990181	26.4707795202461
S_cingul-Marginalis	-0.0671	NA	-0.08	NA	 0.22	 1.4021	148.4542	0.162960458449837	11.9248818240962
S_circular_insula_ant	-0.0636	NA	-0.03	NA	-0.37	-2.3859	162.6128	0.0181851030229683	1.33072284264999
S_circular_insula_inf	 0.0925	NA	 0.10	NA	-0.05	-0.3154	162.9348	0.752894656790329	55.0942228171374
S_circular_insula_sup	 0.0961	NA	 0.09	NA	 0.04	 0.2390	162.8257	0.811413621575549	59.3764379395685
S_collat_transv_ant	-0.0415	NA	 0.00	NA	-0.44	-2.8635	161.2123	0.00474712809825304	0.34737838929767
S_collat_transv_post	 0.0572	NA	 0.02	NA	 0.27	 1.7901	156.1078	0.0753715468663898	5.51542869866005
S_front_inf	 0.0489	NA	 0.06	NA	-0.09	-0.5993	162.5805	0.549775306357783	40.2306523955992
S_front_middle	-0.2277	NA	-0.22	NA	-0.04	-0.2819	162.5202	0.778359832065629	56.957676127692
S_front_sup	 0.0352	NA	 0.05	NA	-0.22	-1.3911	161.2377	0.16612377501275	12.1563623718548
S_interm_prim-Jensen	 0.1255	NA	-0.31	NA	 2.11	13.4114	153.7524	1.19189896973415e-27	8.72190376459759e-26
S_intrapariet_and_P_trans	-0.0261	NA	-0.04	NA	 0.15	 0.9409	157.6398	0.348218142445022	25.4813973718749
S_oc_middle_and_Lunatus	 0.0121	NA	 0.04	NA	-0.24	-1.5493	158.5745	0.123309908424667	9.02339193011612
S_oc_sup_and_transversal	-0.0603	NA	-0.04	NA	-0.16	-1.0200	161.9628	0.309259377708345	22.6305299288341
S_occipital_ant	-0.0597	NA	-0.01	NA	-0.33	-2.1499	162.9998	0.0330417133795452	2.4178781224896
S_oc-temp_lat	-0.0772	NA	-0.09	NA	 0.07	 0.4781	162.1384	0.633210645918476	46.3361615091543
S_oc-temp_med_and_Lingual	 0.0296	NA	 0.01	NA	 0.24	 1.6171	140.5774	0.108088555683071	7.90954606607609
S_orbital_lateral	-0.1151	NA	-0.11	NA	-0.02	-0.1174	159.5432	0.906653950626352	66.3457952893361
S_orbital_med-olfact	-0.0274	NA	-0.02	NA	-0.14	-0.9227	162.9285	0.357543648906089	26.1638056294112
S_orbital-H_Shaped	 0.0190	NA	 0.04	NA	-0.36	-2.3134	161.2418	0.0219628694196123	1.6071667006727
S_parieto_occipital	-0.0232	NA	-0.06	NA	 0.47	 3.0124	153.8954	0.00303085245335528	0.221787283101314
S_pericallosal	-0.0388	NA	-0.02	NA	-0.16	-1.0536	161.2764	0.293622325505468	21.4862646182776
S_postcentral	 0.1078	NA	 0.07	NA	 0.46	 2.9417	156.0731	0.00376119937886361	0.275231541052759
S_precentral-inf-part	-0.0073	NA	 0.01	NA	-0.13	-0.8178	161.3149	0.414693181384715	30.3458104396133
S_precentral-sup-part	-0.0063	NA	-0.02	NA	 0.18	 1.1370	162.8578	0.257189877212443	18.8202642609543
S_suborbital	 0.3954	NA	 0.38	NA	 0.09	 0.5960	162.3747	0.552013195255672	40.3944133526843
S_subparietal	-0.0720	NA	-0.07	NA	-0.03	-0.1912	157.6568	0.848595526163653	62.0972809123099
S_temporal_inf	 0.0887	NA	 0.12	NA	-0.24	-1.5332	162.2526	0.127170539578868	9.30589954403796
S_temporal_sup	-0.0358	NA	-0.04	NA	 0.04	 0.2916	162.3966	0.770932807825366	56.4141922223795
S_temporal_transverse	 0.1276	NA	 0.11	NA	 0.08	 0.4881	162.3241	0.626103321688107	45.8160721430657
