Region	Mean Controls	Mean ASD-I	Cohen`s D	t	df	p	pcor	NA	NA
S_orbital-H_Shaped	 0.0123	NA	 0.02	NA	-0.10	-0.6477	165.6797	0.518092349327963	38.0280440865301
S_parieto_occipital	-0.0069	NA	 0.00	NA	-0.11	-0.6923	153.2419	0.489819723233973	35.9528297488954
S_pericallosal	 0.0203	NA	 0.02	NA	 0.00	 0.0049	159.3016	0.996086754494983	73.1128939909622
S_postcentral	 0.0130	NA	 0.01	NA	 0.06	 0.4119	157.3403	0.680984960164054	49.9843823615113
S_precentral-inf-part	 0.0120	NA	 0.01	NA	-0.04	-0.2830	157.9994	0.777510559266812	57.0693735661098
S_precentral-sup-part	 0.0128	NA	 0.02	NA	-0.20	-1.2799	137.6588	0.202719619456026	14.8796457540399
S_suborbital	 0.0005	NA	-0.01	NA	 0.13	 0.8116	163.4463	0.418217723371068	30.6972338864932
S_subparietal	-0.0094	NA	-0.01	NA	 0.10	 0.6538	165.9823	0.514137089362451	37.7377275039029
S_temporal_inf	-0.0030	NA	 0.00	NA	 0.01	 0.0558	157.6217	0.955574129953737	70.139262216407
S_temporal_sup	-0.0173	NA	-0.02	NA	-0.09	-0.5987	147.8885	0.550281435717608	40.3907271061082
S_temporal_transverse	-0.0260	NA	-0.02	NA	-0.16	-1.0491	165.6066	0.295642998210572	21.7002335286536
