Region	Mean Controls	Mean ASD	Cohen`s D	t	df	p	pcor
S_collat_transv_post	 0.0362	 0.0436	-0.05	-0.38	185.68	0.7015	51.3323
S_front_inf	 0.0459	 0.0494	-0.03	-0.27	192.95	0.7908	57.8665
S_front_middle	-0.2115	-0.2288	 0.16	 1.23	195.07	0.2193	16.0488
S_front_sup	 0.0432	 0.0444	-0.01	-0.10	161.67	0.9212	67.4076
S_interm_prim-Jensen	-0.0857	-0.1144	 0.10	 0.78	207.63	0.4355	31.8671
S_intrapariet_and_P_trans	-0.0514	-0.0330	-0.21	-1.63	202.80	0.1049	 7.6798
S_oc_middle_and_Lunatus	 0.0477	 0.0353	 0.09	 0.70	195.10	0.4841	35.4215
S_oc_sup_and_transversal	-0.0397	-0.0476	 0.07	 0.58	215.04	0.5595	40.9409
S_occipital_ant	-0.0234	-0.0330	 0.07	 0.51	182.27	0.6094	44.5945
S_oc-temp_lat	-0.0898	-0.0795	-0.08	-0.65	207.23	0.5162	37.7751
S_oc-temp_med_and_Lingual	 0.0049	 0.0188	-0.17	-1.47	242.54	0.1438	10.5247
S_orbital_lateral	-0.0919	-0.1224	 0.19	 1.57	224.98	0.1167	 8.5389
S_orbital_med-olfact	-0.0251	-0.0222	-0.04	-0.27	181.86	0.7846	57.4178
S_orbital-H_Shaped	 0.0081	 0.0299	-0.27	-2.10	198.64	0.0369	 2.6990
S_parieto_occipital	-0.0485	-0.0476	-0.01	-0.10	242.47	0.9239	67.6092
S_pericallosal	-0.0466	-0.0328	-0.14	-1.10	209.32	0.2729	19.9696
S_postcentral	 0.0870	 0.0846	 0.02	 0.19	193.19	0.8459	61.8966
S_precentral-inf-part	-0.0025	-0.0031	 0.01	 0.05	188.55	0.9637	70.5205
S_precentral-sup-part	-0.0354	-0.0171	-0.17	-1.26	167.76	0.2082	15.2362
S_suborbital	 0.3802	 0.3906	-0.07	-0.53	213.81	0.5968	43.6743
S_subparietal	-0.0692	-0.0744	 0.05	 0.41	231.83	0.6832	49.9974
S_temporal_inf	 0.0899	 0.1107	-0.17	-1.44	249.04	0.1524	11.1499
S_temporal_sup	-0.0303	-0.0377	 0.12	 1.00	222.76	0.3162	23.1353
S_temporal_transverse	 0.1266	 0.1195	 0.04	 0.35	222.21	0.7231	52.9112
